dma_zone,count
Gracefield,7966
Lower_Hutt_Central,7944
Porirua_HL,6725
Petone,6517
Upper_Hutt_CBD_Central,6006
Upper_Hutt_CBD_West,5655
CBD,5513
Naenae,5325
Delaney,5138
Te Aro,5125
Taita,4908
Konini_Parkway,4551
Southern_Suburbs,4060
Kilbirnie,3857
Messines_Rd,3845
Trentham,3756
Newtown_West,3688
Avalon,3605
Missing,3498
Khandallah,3337
Wainuiomata Central,3223
Tawa,3184
Titahi_Bay,3114
Wallaceville,2938
Brooklyn,2911
Kelburn,2810
Arakura North,2778
Greytown,2680
Newtown_East,2674
Hataitai,2617
Johnsonville_South,2603
Kahu,2520
Wadestown,2477
Ranui,2394
Alicetown,2389
Featherston,2372
Ngaio North,2372
Norana,2305
Johnsonville_North,2242
Epuni,2207
Martinborough,2188
Miramar_South,2092
Aro,2012
Ngaio South,2005
Porirua_CBD,1993
Totara_Park,1978
Newlands_East,1932
Melrose,1909
Thorndon,1901
Arakura South,1858
Tawa North,1823
Newlands_West,1789
Seatoun,1716
James Cook Drive (Whitby),1677
Eastbourne_Town,1620
Maungaraki_West,1602
Plimmerton_East,1533
Papakowhai,1437
Highland_Park,1371
Wainuiomata South,1368
Seatoun_Heights,1365
Beacon_Hill,1357
Stebbings,1339
Normandale,1321
Chester,1319
Bell_Road,1316
Karori_East,1315
Eastbourne_Bays,1252
Bathgate,1242
Miramar North,1182
Strathmore,1165
Pauatahanui,1117
Newlands_North,1097
Roseneath_PRV,1072
Emerald_Hill,1060
Ascot_Park,1052
CBD Takapuwahia,1043
Churton_Park,1038
Liverton,1026
Croydon,1002
Pukerua_Bay,981
Maungaraki_East,967
Pinehaven,957
Redwood,925
Woodridge,917
Aramoana,891
Plimmerton_West,889
Park,879
Major,858
Paparangi,858
Timberlea,842
Linden,842
Frobisher,842
Roseneath,819
Wrights Hill,781
Churton_North,779
Johnsonville_West,758
Karori_West,753
Grenada_North,749
Broadmeadows,729
Whitby High Level,656
Gemstone,655
Karori_South,647
Glenrae,639
Maupuia,615
Brooklyn_West,578
Plateau_Rd,572
Sunville PRV,553
Rata PRV,542
Tirohanga,541
Riverstone_Upper,535
Sweetacres,479
Riverstone_Lower_inc_PRV,479
Tawhai,471
Vogeltown,454
Stemhead Lane,447
Mt_Wakefield,434
Lord_Street,432
WCC TRUNK,429
Lincolnshire,407
Lincolnshire_PRV,395
Grenada_South,389
Holborn,379
Johnsonville_West_PRV,375
Korokoro,370
Maidstone,364
Redbeech,357
Titiromoana,354
Pikarere,346
Gloaming_Hill,341
Pt_Howard,339
Ohiro_Rd,338
Manor_Park,335
Maymorn,335
TRUNK,315
Bradey,307
Houghton Bay,306
Mt_Kaukau,300
Wingate,290
Belmont_Flats,290
Rossavel,280
Pope St,274
Rata,265
Ngauranga_Lower,265
Kamahi,254
Chatsworth,254
Highbury,239
Grenada_North_HL,235
Rangoon,216
Paremata,210
Kenepuru PRV,206
Riverstone_Lower_PRV,198
Mt Marua HL,196
Ascot_Park_HL,194
Broadmeadows_HL,183
Mt_Marua,181
Sunville,162
Broken_Hill_Tawa,162
Alexandra_Rd,152
Beacon_Hill_HL,136
Karori_West_HL,130
Mt_Crawford,129
WCC TRUNK 1,118
Ngauranga_Upper,114
Sylvan_Heights,106
Willcox Grove,105
Silverstream Industrial,90
Kahurangi Heights,81
Haywards_Transpower,64
Porirua,63
Greyfriars,63
Hutt North - Porirua,62
Rimutaka_Prison,55
Hutt North,54
HCC TRUNK,54
Chastudon,47
Telford Terrace,46
The Track,38
Hutt South,36
Newlands HL Tank,33
Kitchener_Tce,31
Makara_Cemetery,31
Richmond Hill,30
Pirinoa,24
Porirua Branch,19
Careys_Gully,19
WWC TRUNK Karori_South,13
Kaitoke - Karori,12
WCC CBD West,10
Porirua CBD,8
Wainuiomata East,6
Airlie Road,5
Judgeford_Future,5
Melling,2
Broken Hill,2
Wainuiomata  South,1
Akarua South,1
Pukerua_Bay_Future,1
Tawa_North,1
