dma_zone,total_length_m
Unknown,228407.81
Porirua_HL,111187.95
Gracefield,107684.71
Lower_Hutt_Central,104075.77
Upper_Hutt_CBD_Central,80658.09
Upper_Hutt_CBD_West,76382.42
Petone,76019.22
CBD,71492.55
Delaney,71023.12
Greytown,68861.56999999999
Naenae,62057.66
Te Aro,62015.86
Martinborough,60942.9
Taita,59985.63
Southern_Suburbs,58304.69
Kilbirnie,55618.090000000004
Trentham,54802.92
Konini_Parkway,54738.25
Messines_Rd,53909.39
Featherston,53821.1
Tawa,48735.11
Titahi_Bay,48081.11
Khandallah,47259.18
Newtown_West,47209.42
Avalon,44890.01
Wainuiomata Central,42880.64
Wallaceville,41566.93
Ranui,40384.93
Brooklyn,40156.65
Kelburn,40090.49
Kahu,38153.27
Porirua_CBD,38074.1
Johnsonville_South,37110.47
Wadestown,37085.75
Hataitai,36930.96
Arakura North,36074.28
Miramar_South,35501.24
Ngaio North,32642.6
Norana,32427.77
Epuni,31477.28
Johnsonville_North,29990.83
Alicetown,29744.79
Ngaio South,29263.67
Newtown_East,29215.7
Seatoun,29189.44
Melrose,29049.09
Totara_Park,27856.16
Aro,27403.58
Tawa North,27093.58
Eastbourne_Bays,26326.4
Thorndon,26245.84
Plimmerton_East,25986.4
Eastbourne_Town,25180.68
Newlands_West,25149.5
James Cook Drive (Whitby),24814.34
Newlands_East,24407.33
Highland_Park,24272.32
Arakura South,24227.14
Maungaraki_West,23174.9
Papakowhai,23059.63
Plimmerton_West,22230.6
Normandale,21110.6
Seatoun_Heights,21041.82
CBD Takapuwahia,19725.85
Beacon_Hill,19519.83
Miramar North,19498.89
Karori_East,19340.24
Wainuiomata South,18842.73
Chester,18616.69
Ascot_Park,18184.34
Pukerua_Bay,17945.46
Pauatahanui,17780.9
Stebbings,17119.63
Timberlea,17113.43
Emerald_Hill,16749.93
Strathmore,16097.86
Bathgate,16038.64
Major,15879.31
Bell_Road,15514.21
Maungaraki_East,15143.89
Liverton,15046.5
Park,14987.28
Newlands_North,14892.72
Linden,14878.69
Croydon,14684.39
Pinehaven,14459.2
Churton_Park,13894.69
Roseneath_PRV,12809.18
Aramoana,12365.63
WCC TRUNK,12307.31
Redwood,11960.94
Roseneath,11723.67
Frobisher,11666.35
Paparangi,11369.63
Maymorn,10727.98
Maupuia,10380.6
Wrights Hill,10220.21
Karori_West,10169.72
Plateau_Rd,9991.02
Churton_North,9983.25
Tirohanga,9863.39
Grenada_North,9785.69
Woodridge,9708.56
Whitby High Level,9305.82
Gemstone,8908.68
Broadmeadows,8830.72
Sweetacres,8676.18
Riverstone_Upper,8647.28
Glenrae,8441.47
Ohiro_Rd,8430.119999999999
Johnsonville_West,8270.67
Karori_South,7778.72
Holborn,7738.69
Korokoro,7609.2300000000005
Pikarere,7579.61
Rossavel,7532.56
Vogeltown,7415.55
Tawhai,7413.6
Riverstone_Lower_inc_PRV,7309.46
Brooklyn_West,7221.4
Manor_Park,6915.38
Titiromoana,6853.82
Lincolnshire,6752.84
TRUNK,6637.03
Mt_Marua,6628.05
Mt_Wakefield,6563.37
Grenada_South,6257.82
Ngauranga_Lower,6211.5
Sunville PRV,6196.32
Rata PRV,5943.72
Bradey,5921.27
Lord_Street,5510.32
Johnsonville_West_PRV,5495.18
Gloaming_Hill,5433.0
Pt_Howard,5373.14
Belmont_Flats,5348.07
Kenepuru PRV,5319.41
Mt_Crawford,5047.91
Maidstone,4888.34
Wingate,4707.13
Stemhead Lane,4591.72
Lincolnshire_PRV,4566.64
Redbeech,4364.85
Broken_Hill_Tawa,4285.49
Paremata,4156.21
Mt Marua HL,4135.54
Kamahi,4133.05
Makara_Cemetery,4057.49
WCC TRUNK 1,3737.04
Houghton Bay,3636.59
Highbury,3586.54
Rata,3428.29
Mt_Kaukau,3302.14
Grenada_North_HL,3111.0099999999998
Riverstone_Lower_PRV,3055.21
Rangoon,2940.03
Ascot_Park_HL,2874.7200000000003
Chatsworth,2710.99
Haywards_Transpower,2436.06
Silverstream Industrial,2399.33
Rimutaka_Prison,2151.24
Willcox Grove,2046.16
Pope St,1880.85
Sunville,1819.45
Ngauranga_Upper,1789.54
Alexandra_Rd,1777.7
Porirua,1678.19
Pirinoa,1625.7
Broadmeadows_HL,1609.42
The Track,1605.07
Richmond Hill,1359.53
Karori_West_HL,1336.97
Beacon_Hill_HL,1325.47
Kahurangi Heights,1325.09
Sylvan_Heights,1149.14
HCC TRUNK,1027.57
Hutt North - Porirua,931.84
Careys_Gully,835.2700000000001
Chastudon,589.14
Greyfriars,564.06
WWC TRUNK Karori_South,546.46
Telford Terrace,415.47
Kitchener_Tce,395.98
Newlands HL Tank,341.86
Kaitoke - Karori,311.7
Hutt North,279.31
Porirua Branch,154.82
Airlie Road,141.68
Porirua CBD,95.2
Hutt South,35.55
WCC CBD West,24.89
Broken Hill,19.13
Wainuiomata  South,14.03
Judgeford_Future,6.779999999999999
Wainuiomata East,6.12
Tawa_North,5.95
Melling,4.58
Pukerua_Bay_Future,3.96
Akarua South,0.78
