material_group,screening_ready_assets,high_review_priority_assets,high_review_priority_rate
AC,24063,21958,0.9125
CU,38112,12773,0.3351
CI,8980,8097,0.9017
STCL,11203,4559,0.4069
GI,4198,4022,0.9581
PE80,46990,2145,0.0456
ST,1565,803,0.5131
CICL,762,617,0.8097
GS,771,410,0.5318
PE,3233,189,0.0585
PE100,28496,105,0.0037
DICL,3055,64,0.0209
RCON,195,57,0.2923
STBL,63,55,0.873
PVC,3425,49,0.0143
MPVC,2343,36,0.0154
PITF,35,35,1.0
CIBL,31,31,1.0
uPVC,5098,29,0.0057
AC-F,28,25,0.8929
DI,1587,21,0.0132
STEL,122,19,0.1557
AC-E,11,7,0.6364
ABS,16,4,0.25
UPVC,5622,3,0.0005
STEN,5,3,0.6
ST-EN,3,3,1.0
BUTYL,104,2,0.0192
mPVC,324,1,0.0031
EW,1,1,1.0
OPVC,701,0,0.0
SS316,110,0,0.0
Cu,21,0,0.0
LDPE,11,0,0.0
SS304,11,0,0.0
HDPE,5,0,0.0
BRASS,4,0,0.0
DIEP,3,0,0.0
MDPE,1,0,0.0
uPVC-S2,1,0,0.0
Unknown,0,0,
